topic,token_count,token_diff_from_mean,word-length,uniform_dist,corpus_dist,eff_num_words,rank_1_docs,exclusivity,coherence,top_n_terms
34,11097871,8317573.356,4.9,6.535161767,0.825115324,136.3304827,0.746660175,0.107807809,-3.450586026,"coronavirus, covid, people, amp, time, it's, don't, dont, good, i'm"
35,3307803,527505.3556,6.2,7.113782065,1.553579707,118.6734505,0.800128096,0.310998489,-2.963687277,"covid, amp, healthcare, workers, nurses, doctors, coronavirus, ppe, health, care"
36,1288616,1491681.644,5.7,6.620660066,2.258498801,160.422044,0.816083395,0.396157285,-4.671770031,"covid, coronavirus, read, life, poetry, book, books, blog, free, motivation"
37,2652623,127674.6444,5.4,6.620068479,1.77100813,142.2099697,0.837872198,0.623393924,-8.157286679,"covid, coronavirus, maga, qanon, wwg, kag, fakenews, wga, amp, billgates"
38,1716541,1063756.644,6.7,6.423129918,1.96307021,134.722815,0.811183066,0.364091947,-5.170307773,"coronavirus, covid, due, news, facebook, marketing, movie, twitter, socialmedia, film"
39,2434386,345911.6444,8.1,6.20281073,1.831367982,188.3983724,0.839869625,0.180597718,-3.701413937,"covid, coronavirus, lockdown, day, photography, nature, socialdistancing, love, stayhome, beautiful"
40,2288431,491866.6444,6.7,7.125565341,1.752252155,118.45224,0.810096981,0.274631202,-3.660028458,"covid, coronavirus, health, mentalhealth, amp, anxiety, pandemic, care, support, tips"
41,2385117,395180.6444,5.9,7.084454554,1.946726007,108.9801639,0.80903005,0.422319069,-3.531379751,"covid, coronavirus, mask, masks, face, facemask, amp, facemasks, hands, virus"
42,2548250,232047.6444,6.5,6.906721812,1.80305394,55.97428536,0.838588153,0.5080686,-6.94212445,"covid, nigeria, lockdown, africa, coronavirus, day, oflockdown, lagos, kenya, ghana"
43,718470,2061827.644,7.6,7.194595513,3.460705711,130.0504365,0.728688933,0.493030798,-3.319167115,"covid, georgia, atlanta, realestate, news, coronavirus, conspiracy, university, truth, medical"
44,5188017,2407719.356,6.9,6.748600496,1.124360405,126.8934946,0.804566096,0.278690078,-3.926852285,"coronavirus, covid, breaking, cases, nyc, state, newyork, florida, california, positive"
45,6735795,3955497.356,6.4,6.709317738,1.175960815,149.2528271,0.808117163,0.187628197,-3.881024734,"covid, coronavirus, amp, business, latest, crisis, pandemic, webinar, impact, read"
46,4343185,1562887.356,6.5,8.562428219,1.772981532,48.49708763,0.741795839,0.452203268,-2.994384674,"cases, covid, coronavirus, deaths, death, total, confirmed, italy, recovered, spain"
47,7542220,4761922.356,7.2,6.560005747,1.172040171,130.1703702,0.872634779,0.311569443,-3.861057438,"coronavirus, covid, trump, amp, trumpvirus, americans, president, cnn, donaldtrump, people"
48,1534036,1246261.644,6.9,7.352589641,2.124503947,52.66761257,0.796347628,0.491526908,-4.207393298,"covid, canada, news, coronavirus, latest, cdnpoli, ontario, daily, toronto, covidcanada"
49,1262505,1517792.644,7.1,6.114398613,2.551796775,211.9742647,0.83395892,0.261263295,-4.376751166,"covid, coronavirus, food, healthy, cannabis, health, coffee, lockdown, stayhome, immunity"
